FLUTE	PW	PQ	CHOP	DECAL	PRICE	200	500	1K	3K	5K	10K
B	125	KT	2400	2200	1.64	366	310	310	310	310	310
B	125	KT	2100	750	0.49	^	^	^	^	^	^
B	125	KT	1300	1700	0.69	^	^	^	^	^	^
B	150	WKT	2400	2200	2.04	461	387	387	387	387	387
B	150	WKT	1517	1520	0.89	^	^	^	^	^	^
B	125	WKT	1230	1233	0.56	527	369	369	369	369	369
B	125	WKT	924	927	0.32	^	^	^	^	^	^
B	150	KT	2200	2400	1.83	408	347	347	347	347	347
C	200	KT	2400	2240	2.23	489	414	414	414	414	414
BC	125	KT	2450	2240	2.73	567	498	498	498	498	498
BC	125	KT	3000	1400	2.09	^	^	^	^	^	^
BC	125	KT	2380	945	1.12	^	^	^	^	^	^
BC	200	KT	2480	2340	3.37	644	581	581	581	581	581
BC	300	KT	1650	2180	2.95	976	879	821	821	821	821
BC	300	KKK	2254	2170	6.58	1345	1345	1345	1345	1345	1345
E	185	KG	900	1040	0.54	581	581	581	581	581	581
